, Person:Academic / Teacher, Person:Royalty, Person:Author/Journalist / Writer / Poet, Person:Military / Army / Navy / Airforce, Person:Religious / Priest / Minister / Cleric, Person:Sports, Person:Musician / Singer, Person:Business, Person:Medical / Scientist / Researcher, Person:Celebrity, Person:Other, Person:Actor / Director / Producer, Person:Politician/Advisor, Person:Uncelebrated / victims / bystander / witnes, Person:Artist,
Person:Academic / Teacher, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,
Person:Royalty, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
Person:Author/Journalist / Writer / Poet, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0,
Person:Military / Army / Navy / Airforce, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
Person:Religious / Priest / Minister / Cleric, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
Person:Sports, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 1, 0, 0, 0, 0,
Person:Musician / Singer, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0,
Person:Business, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0,
Person:Medical / Scientist / Researcher, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
Person:Celebrity, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,
Person:Other, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0,
Person:Actor / Director / Producer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0,
Person:Politician/Advisor, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0,
Person:Uncelebrated / victims / bystander / witnes, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
Person:Artist, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2,
